window 60,b,c,d,window 120,b,c,d,C_60_train,C_120_train
175,731,587,762,209,647,508,717,2,6
161,645,422,583,158,639,422,580,1,1
133,516,251,384,130,499,255,385,0,0
96,253,84,179,89,261,101,190,8,10
31,31,6,36,38,75,20,58,16,10
1,3,0,1,5,6,1,6,0,5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
5,6,1,6,8,5,1,9,2,13
27,8,2,28,29,6,1,30,45,41
93,56,25,118,107,70,34,141,56,51
195,280,161,356,163,298,187,351,19,26
173,612,435,608,187,544,397,584,2,6
242,587,483,725,226,614,503,729,6,5
270,590,550,820,283,566,516,799,8,9
316,539,520,836,299,568,543,842,10,9
350,384,371,722,372,307,296,669,23,28
402,48,44,446,363,142,135,498,49,43
314,20,16,330,310,18,15,325,57,57
232,23,12,245,240,65,32,272,57,50
199,180,80,279,186,140,57,243,26,31
112,149,49,161,113,144,54,167,18,18
32,31,6,38,42,49,12,55,14,12
1,3,0,1,6,6,1,7,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,14,16
0,0,0,0,0,0,0,0,38,32
0,0,0,0,0,0,0,0,40,40
0,0,0,0,0,0,0,0,45,44
3,1,0,3,8,2,0,8,46,48
42,17,4,45,50,16,4,54,46,45
115,28,9,123,113,22,8,121,47,51
185,16,8,193,176,16,7,184,57,57
156,6,4,159,137,8,4,141,73,74
32,0,0,32,76,1,1,76,96,89
111,0,0,112,114,0,0,115,88,88
225,1,1,226,199,1,1,200,76,79
228,1,1,229,211,1,1,212,76,77
160,0,0,161,180,1,1,180,82,79
150,1,1,151,151,1,1,152,80,80
150,2,1,151,152,2,1,153,75,73
127,3,1,128,122,8,3,124,69,67
69,11,3,72,72,8,2,74,66,64
16,2,0,16,27,7,2,28,53,51
1,0,0,1,4,1,0,4,34,37
0,0,0,0,0,0,0,0,30,32
0,0,0,0,0,0,0,0,21,19
0,0,0,0,0,0,0,0,2,7
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,0,15,15
0,0,0,0,0,0,0,0,31,26
0,0,0,0,0,0,0,0,36,41
3,1,0,4,10,3,1,10,56,49
42,11,2,44,50,10,3,52,49,53
127,22,8,135,133,26,10,143,48,45
239,44,23,262,233,38,21,253,43,45
322,44,31,353,329,57,41,370,46,43
374,179,156,530,327,273,244,571,35,31
277,582,538,816,323,473,440,762,12,17
300,599,577,877,251,684,653,904,11,7
194,795,762,956,218,747,708,926,2,4
162,830,748,910,164,822,736,899,0,0
193,681,553,747,214,594,495,709,6,11
286,198,140,427,249,294,219,468,33,27
223,113,49,273,222,143,56,279,34,31
119,220,61,180,124,162,47,171,16,19
35,84,16,51,43,107,25,68,12,11
1,1,0,1,7,11,2,9,6,5
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,13,17
0,0,0,0,0,0,0,0,40,30
0,0,0,0,0,0,0,0,33,40
0,0,0,0,0,0,0,0,42,35
4,2,0,4,12,11,2,13,33,35
50,55,12,62,55,43,10,65,28,30
131,123,45,176,120,183,82,201,29,23
160,449,250,410,179,342,196,375,10,18
266,335,214,480,238,302,182,421,22,28
216,18,13,229,189,73,51,239,69,65
18,0,0,18,58,1,1,58,98,93
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
