Dhi,Dni,Ebh,Ghi,rain,tem,hum,,,,,,
132,1,1,133,0,22.5,89,,,,,,
408,36,34,442,0,24.7,83,,,,,,
278,16,15,294,0,24.3,85,,,,,,
144,3,3,147,0,23.1,92,,,,,,
96,2,2,98,0.5,23.2,92,,,,,,
64,1,1,65,0,23.2,92,,,,,,
19,0,0,19,0.5,22.8,95,,,,,,
37,2,1,38,0.4,22.9,94,,,,,,
49,7,2,51,0,22.9,95,,,,,,
14,7,1,15,0,22.7,97,,,,,,
0,0,0,0,0,23.2,94,,,,,,
0,0,0,0,0,23.1,96,,,,,,
0,0,0,0,0,23.1,96,,,,,,
0,0,0,0,0,23.2,95,,,,,,
0,0,0,0,0,22.9,98,,,,,,
0,0,0,0,0,23,98,,,,,,
0,0,0,0,0,23.3,96,,,,,,
0,0,0,0,0,23.2,98,,,,,,
0,0,0,0,0.6,23,99,,,,,,
0,0,0,0,0,23.3,97,,,,,,
20,4,1,20,0,23.4,96,,,,,,
24,1,0,24,0,23.7,96,,,,,,
5,0,0,5,0,23.7,96,,,,,,
6,0,0,6,1,23.5,99,,,,,,
21,0,0,21,1.7,24.1,94,,,,,,
39,0,0,40,0.1,24.4,96,,,,,,
55,1,1,56,0,24,98,,,,,,
43,1,1,43,1.6,24.2,98,,,,,,
18,0,0,18,1.3,24.2,95,,,,,,
23,0,0,23,1.9,23.7,93,,,,,,
20,0,0,20,2.4,23.2,92,,,,,,
26,1,0,26,1,23.7,94,,,,,,
44,6,2,46,0.5,24,94,,,,,,
12,9,2,13,0,24.2,92,,,,,,
0,0,0,0,0.8,24.2,92,,,,,,
0,0,0,0,2.1,24.2,94,,,,,,
0,0,0,0,6.4,24.2,92,,,,,,
0,0,0,0,2.3,24.7,88,,,,,,
0,0,0,0,11.4,23.8,94,,,,,,
0,0,0,0,16.6,23.8,95,,,,,,
0,0,0,0,15.6,24.3,95,,,,,,
0,0,0,0,17.2,24.1,97,,,,,,
0,0,0,0,10.9,24.6,95,,,,,,
0,0,0,0,9.4,24.2,96,,,,,,
17,5,1,18,5.5,23.9,95,,,,,,
102,34,12,113,2.6,23.6,96,,,,,,
42,2,1,43,4.1,23.4,95,,,,,,
124,5,3,127,3.1,22.9,98,,,,,,
100,3,3,103,2.9,22.8,98,,,,,,
113,2,2,116,0.6,22.7,99,,,,,,
126,2,2,128,2.8,23.7,96,,,,,,
69,1,1,70,4.1,23.3,95,,,,,,
83,1,1,84,2.9,23.2,97,,,,,,
84,2,2,85,3.6,23.2,97,,,,,,
75,2,1,76,2.1,22.6,99,,,,,,
61,6,3,64,2.1,22.4,99,,,,,,
15,1,0,16,0.3,22.5,99,,,,,,
